Author,Quote
Hillary Clinton,"Always aim high, work hard, and care deeply about what you believe in. And, when you stumble, keep faith. And, when you're knocked down, get right back up and never listen to anyone who says you can't or shouldn't go on."
Lao Tzu,"""Be content with what you have; rejoice in the way things are. When you realize there is nothing lacking, the whole world belongs to you."""
Hunter S. Thompson,"Life should not be a journey to the grave with the intention of arriving safely in a pretty and well-preserved body, but rather to skid in broadside in a cloud of smoke, thoroughly used up, totally worn out, and loudly proclaiming, 'Wow! What a ride!'"
,Music complies with the laws of sacred geometry for music is numbers in harmonic repetition.
Stephen Hawking,"I don't think the human race will survive the next thousand years, unless we spread into space."
Bertrand Russell,"""Envy consists in seeing things never in themselves, but only in their relations. If you desire glory, may you envy Napolean, but Napoleon envied Caesar, Caesar envied Alexander, and Alexander, I daresay, envied Herculues who never existed."""
Rumi,"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself."
Aristotle,It is the mark of an educated mind to be able to entertain a thought without accepting it.
Carl Sagan,"“Across the sea of space, the stars are other suns.”"
Arthur C. Clarke,“I’m sure the universe is full of intelligent life. It’s just been too intelligent to come here.”
Mehmet Murat ildan,"“Unless humanity gives top priority to the space science, there will be no future for the humanity!”"
George Gamow,"It took less than an hour to make the atoms, a few hundred million years to make the stars and planets, but five billion years to make man!"
Don Freeman,"If you trust the government, you obviously failed history class."
Thomas Sowell,Inflation is in effect a hidden tax.
Tacitus,"The more corrupt the state, the more numerous the laws."
Thomas Sowell,"Activism is a way for useless people to feel important, even if the consequences of their activism are counterproductive for those they claim to be helping and damaging to the fabric of society as a whole."
Thomas Jefferson,Most bad government has grown out of too much government.
Aristotle,Tolerance and apathy are the last virtues of a dying society.
Napolean Bonaparte,"In the eyes of empire builders, men are not men but instruments."
Winston Churchill,A fanatic is one who can't change his mind and won't change the subject.
Martin Luther King Jr.,"In the end, we will remember not the words of our enemies, but the silence of our friends."
Alexander von Humboldt,The most dangerous worldviews are the worldviews of those who have never viewed the world.
Terrence McKenna,"""We have been to the moon, we have charted the depths of the ocean and the heart of the atom, but we have a fear of looking inward to ourselves because we sense that is where all the contradictions flow together."""
Confucius,"""Learn advidly. Question it repeatedly. Analyze it carefully. Then put what you have learned into practice intelligently."""
Plato,"""Do not train a child to learn by force or harshness; but direct them to it by what amuses their minds, so that you may be able to discover with accuracy the peculiar bent of the genius of each."""
Thomas Jefferson,I believe that banking institutions are more dangerous to our liberties than standing armies.
H.L. Mencken,"The most dangerous man to any government is the man who is able to think things out for himself, without regard to the prevailing superstitions and taboos. Almost invariably he comes to the conclusion that the government he lives under is dishonest, insane, and intolerable. And so, if he is romantic, he tries to change it. And if he is not romantic personally, he is apt to spread discontent among those who are."
Niccolo Machiavelli,The first method for estimating the intelligence of a ruler is to look at the men he has around him.
Charles Bukowski,You begin saving the world by saving one man at a time; all else is grandiose romanticism or politics.
F.A. Hayek.,"""Emergencies"" have always been the pretext on which the safeguards of individual liberty have been eroded."
G. Michael Hopf,"Hard times create strong men. Strong men create good times. Good times create weak men. And, weak men create hard times."""
Dostoievski,Tolerance will reach such a level that intelligent people will be banned from thinking so as not to offend the imbeciles.
George Washington,When government takes away citizens' right to bear arms it becomes citizens' duty to take away government's right to govern.
Frank Herbert,"And the price we paid was the price men have always paid for achieving a paradise in this life - we went soft, we lost our edge."
Sigmund Freud,"Most people do not really want freedom, because freedom involves responsibility, and most people are frightened of responsibility."
Arthur Shopenhauer,"All truth passes through three stages. First, it is ridiculed. Second, it is violently opposed. Third, it is accepted as being self-evident."
Malcolm X,"If you're not careful, the newspapers will have you hating the people who are being oppressed, and loving the people who are doing the oppressing."
Nikola Tesla,"The spread of civilization may be likened to a fire; first, a feeble spark, next a flickering flame, then a mighty blaze, ever increasing in speed and power."
Bill Hicks,"""Here's what we can do to change the world, right now, to a better ride. Take all that money we spend on weapons and defense each year, and instead spend it feeding, clothing, and educating the poor of the world, which it would many times over, not one human being excluded, and we can explore space together, both inner and outer, forever, in peace."""
Edward Snowden,"Truth is coming, and it cannot be stopped."
Plato,"""No one is more hated than he who speaks the truth."""
Friedrich Nietzsche,"""Distrust all in whom the impulse to punish is powerful."""
John Trudell,The Great Lie is that this is civilization. It's not civilized.
Terrence McKenna,"""The cost of sanity in this society is a certain level of alienation."""
Friedrich Nietzsche,"Everything the State says is a lie, and everything it has it has stolen."
Isaac Asimov,"""When stupidity is considered patriotism, it is unsafe to be intelligent."""
Aristotle,"""Republics decline into democracies and democracies degenerate into despotisms."""
Pericles,Freedom is the sure possession of those alone who have the courage to defend it.
Thomas Sowell,"If you want to see the poor remain poor, generation after generation, just keep the standards low in their schools and make excuses for their academic shortcomings and personal misbehavior. But please don't congratulate yourself on your compassion."
Plato,"""The price good men pay for the indifference to public affairs is to be ruled by evil men."""
Plato,"""The heaviest penalty for declining to rule is to be ruled by someone inferior to yourself."""
Frank Herbert,"Good government never depends upon laws, but upon the personal qualities of those who govern."
Frederic Bastiat,"""Government is the great fiction, through which everybody endeavors to live at the expense of everybody else."""
Thomas Jefferson,Educate and inform the whole mass of the people. They are the only sure reliance for the preservation of our liberty.
George Washington,"Government is not reason; it is not eloquent; it is force. Like fire, it is a dangerous servant and a fearful master."
Alexander Hamilton,"""There is a certain enthusiasm in liberty, that makes human nature rise above itself, in acts of bravery and heroism."""
Benjamin Franklin,"""Only a virtuous people are capable of freedom. As nations become corrupt and viscious, they have more need of masters."""
John Adams,"""Our Constitution was made only for a moral and religious people. It is wholly inadequate to the government of any other."""
George Washington,"When government takes away citizen's right to bear arms, it becomes citizens' duty to take away government's right to govern."
Duncan Trussell,"""Some poor, phoneless fool is probably sitting next to a waterfall somewhere totally unaware of how angry and scared he's supposed to be."""
John Adams,"Remember, democracy never lasts long. It soon wastes, exhausts, and murders itself. There never was a democracy yet that did not commit suicide."
Pentti Linkola,"""The difference between a terrorist and a freedom fighter is a matter of perspective. It all depends on the observer and the verdict of history."""
J Robert Oppenheimer,"""It is perfectly obvious that the whole world is going to hell. The only possible chance that it might not is that we do not attempt to prevent it from doing so."""
Philip K. Dick,"""The basic tool for the manipulation of reality is the manipulation of words. If you can control the meaning of words, you can control the people who must use the words."""
Marcus Aurelius,"""You are not compelled to form any opinion about this matter before you, nor to disturb your peace of mind at all. Things in themselves have no power to extort a verdict from you."""
Murray N. Rothbard,"""There are two and only two ways that any economy can be organized. One is by freedom and voluntary choice - the way of the market. The other is by force and dictation - the way of the state."""
Thomas Jefferson,"""The two enemies of the people are criminals and government, so let us tie the second down with the chains of the constitution so the second will not become the legalized version of the first."""
Terrence McKenna,"""If the worlds 'life, liberty, and the pursuit of happiness' don't include the right to experiment with your own consciousness, then the Declaration of Independence isn't worth the hemp it was written on."""
Ernst Jünger,"""The partisan wants to change the law, the criminal breaks it; the anarch wants neither. He is not for or against the law. While not acknowledging the law, he does try to recognize it like the laws of nature, and he adjusts accordingly."""
Frank Herbert,"""Atrocity is recognized as such by victim and predator alike, by all who learn about it at whatever remove. Atrocity has no excuses, no mitigating argument. Atrocity never balances or rectifies the past. Atrocity merely arms the future for more atrocity."""
